;identity;nUser;timeslot;userLambda;nUser-timeslot;nUser-userLambda;timeslot-userLambda;nUser-timeslot-userLambda;userThroughputTotalStat;userThroughputTotalStat[0];userThroughputTotalStat[1];userThroughputTotalStat[2];userThroughputTotalStat[3];userThroughputTotalStat[4];userThroughputTotalStat[5];userThroughputTotalStat[6];userThroughputTotalStat[7];userThroughputTotalStat[8];userThroughputTotalStat[9];userThroughputTotalStatError[0];userThroughputTotalStatError[1];userThroughputTotalStatError[2];userThroughputTotalStatError[3];userThroughputTotalStatError[4];userThroughputTotalStatError[5];userThroughputTotalStatError[6];userThroughputTotalStatError[7];userThroughputTotalStatError[8];userThroughputTotalStatError[9]
0;1;-1;-1;-1;1;1;1;-1;1903.294316;1894.786316;1922.826316;1911.586316;1893.22;1905.594737;1921.749474;1889.016842;1899.897895;1898.669474;1895.595789;-8.508;19.532;8.292;-10.07431579;2.300421053;18.45515789;-14.27747368;-3.396421053;-4.624842105;-7.698526316
1;1;-1;-1;1;1;-1;-1;1;19015.51242;19081.54421;19053.92105;19029.10842;18991.10211;19031.03474;18941.08421;19007.55789;19025.26632;18997.18632;18997.31895;66.03178947;38.40863158;13.596;-24.41031579;15.52231579;-74.42821053;-7.954526316;9.753894737;-18.32610526;-18.19347368
2;1;-1;1;-1;-1;1;-1;1;1903.273368;1911.586316;1905.524211;1893.174737;1895.595789;1898.641053;1899.897895;1889.016842;1921.707368;1922.826316;1894.763158;8.312947368;2.250842105;-10.09863158;-7.677578947;-4.632315789;-3.375473684;-14.25652632;18.434;19.55294737;-8.510210526
3;1;-1;1;1;-1;-1;1;-1;19009.71358;19012.3;18981.06632;19018.74421;18934.41684;19080.97684;19030.18526;19041.34842;19008.09368;18996.43368;18993.57053;2.586421053;-28.64726316;9.030631579;-75.29673684;71.26326316;20.47168421;31.63484211;-1.619894737;-13.27989474;-16.14305263
4;1;1;-1;-1;-1;-1;1;1;1899.666474;1897.711895;1902.086737;1900.884105;1895.470947;1901.185158;1899.548;1898.705263;1897.198421;1902.712211;1901.162;-1.954578947;2.420263158;1.217631579;-4.195526316;1.518684211;-0.118473684;-0.961210526;-2.468052632;3.045736842;1.495526316
5;1;1;-1;1;-1;1;-1;-1;6398.557253;6391.216526;6412.376737;6399.815789;6406.467158;6398.102842;6392.764105;6400.771474;6387.241368;6403.001158;6393.815368;-7.340726316;13.81948421;1.258536842;7.909905263;-0.454410526;-5.793147368;2.214221053;-11.31588421;4.443905263;-4.741884211
6;1;1;1;-1;1;-1;-1;-1;1891.237958;1893.919579;1892.526632;1888.779368;1886.327263;1893.440737;1890.584632;1891.629579;1893.362;1893.049895;1888.759895;2.681621053;1.288673684;-2.458589474;-4.910694737;2.202778947;-0.653326316;0.391621053;2.124042105;1.811936842;-2.478063158
7;1;1;1;1;1;1;1;1;2132.569716;2129.815789;2130.128632;2128.501368;2138.930105;2134.314;2135.429684;2123.968632;2134.314421;2133.613579;2136.680947;-2.753926316;-2.441084211;-4.068347368;6.360389474;1.744284211;2.859968421;-8.601084211;1.744705263;1.043863158;4.111231579
Sum;54153.82508;-29509.76228;-4280.235842;38958.88085;-4268.596263;-29478.43578;-4263.336916;-4251.781126;;;;;;;;;;;;;;;;;;;;;
qi;6769.228136;-3688.720286;-535.0294803;4869.860107;-533.5745329;-3684.804472;-532.9171145;-531.4726408;;;;;;;;;;;;;;;;;;;;;
SSx;;1088532588;22900523.58;1897242997;22776142.57;1086222720;22720052.07;22597053.43;30072.84224;;;;;;;;;;;;;;;;;;;;
Variation;;26%;1%;46%;1%;26%;1%;1%;0%;;;;;;;;;;;;;;;;;;;;
