;identity;nUser;timeslot;userLambda;nUser-timeslot;nUser-userLambda;timeslot-userLambda;nUser-timeslot-userLambda;packetDelayStat;packetDelayStat[0];packetDelayStat[1];packetDelayStat[2];packetDelayStat[3];packetDelayStat[4];packetDelayStat[5];packetDelayStat[6];packetDelayStat[7];packetDelayStat[8];packetDelayStat[9];packetDelayStatError[0];packetDelayStatError[1];packetDelayStatError[2];packetDelayStatError[3];packetDelayStatError[4];packetDelayStatError[5];packetDelayStatError[6];packetDelayStatError[7];packetDelayStatError[8];packetDelayStatError[9]
0;1;-1;-1;-1;1;1;1;-1;0.000252029;0.000252651;0.000252421;0.000251616;0.000250626;0.000252204;0.000251861;0.00025301;0.000250545;0.000252159;0.000253197;6.22E-07;3.92E-07;-4.13E-07;-1.40E-06;1.74E-07;-1.68E-07;9.81E-07;-1.48E-06;1.30E-07;1.17E-06
1;1;-1;-1;1;1;-1;-1;1;0.000275126;0.000275138;0.000274467;0.000274698;0.000275492;0.000275226;0.000275017;0.00027526;0.000276043;0.000274578;0.000275336;1.20E-08;-6.58E-07;-4.28E-07;3.67E-07;1.01E-07;-1.09E-07;1.34E-07;9.17E-07;-5.47E-07;2.11E-07
2;1;-1;1;-1;-1;1;-1;1;0.00077021;0.000770023;0.000769861;0.000768345;0.000776426;0.000769968;0.000767549;0.000771424;0.000768608;0.000770352;0.000769543;-1.87E-07;-3.49E-07;-1.86E-06;6.22E-06;-2.42E-07;-2.66E-06;1.21E-06;-1.60E-06;1.42E-07;-6.67E-07
3;1;-1;1;1;-1;-1;1;-1;0.001133022;0.00112786;0.001132623;0.001134592;0.001137419;0.001133199;0.001136003;0.001133397;0.001135551;0.001135783;0.001123791;-5.16E-06;-3.99E-07;1.57E-06;4.40E-06;1.77E-07;2.98E-06;3.75E-07;2.53E-06;2.76E-06;-9.23E-06
4;1;1;-1;-1;-1;-1;1;1;0.000273124;0.000273874;0.00027337;0.000273122;0.000272883;0.000273513;0.000272871;0.000272617;0.000273169;0.000273042;0.000272782;7.50E-07;2.46E-07;-2.62E-09;-2.42E-07;3.89E-07;-2.53E-07;-5.08E-07;4.50E-08;-8.25E-08;-3.42E-07
5;1;1;-1;1;-1;1;-1;-1;0.56757822;0.582833331;0.518346289;0.60581703;0.539455991;0.638521461;0.532420265;0.523074095;0.638203608;0.576387988;0.520722143;0.015255111;-0.049231931;0.038238809;-0.028122229;0.070943241;-0.035157955;-0.044504125;0.070625388;0.008809768;-0.046856077
6;1;1;1;-1;1;-1;-1;-1;0.00124561;0.001250858;0.001249088;0.001239578;0.001253286;0.001232412;0.001246636;0.001261991;0.001251665;0.001232319;0.001238264;5.25E-06;3.48E-06;-6.03E-06;7.68E-06;-1.32E-05;1.03E-06;1.64E-05;6.06E-06;-1.33E-05;-7.35E-06
7;1;1;1;1;1;1;1;1;33.00251641;33.15677549;32.93353811;32.99073416;32.99122159;33.04594673;32.95312847;32.94076432;32.98013971;33.02276577;33.01014973;0.154259083;-0.068978296;-0.011782247;-0.011294822;0.043430321;-0.049387934;-0.061752089;-0.022376697;0.020249361;0.00763332
Sum;33.57404375;33.56918298;32.43728675;33.5689618;32.4345346;33.56818999;32.43430542;32.43362599;;;;;;;;;;;;;;;;;;;;;
qi;4.196755469;4.196147872;4.054660844;4.196120225;4.054316825;4.196023748;4.054288177;4.054203248;;;;;;;;;;;;;;;;;;;;;
SSx;;1408.612557;1315.221965;1408.593996;1314.998793;1408.529224;1314.98021;1314.925118;0.058348227;;;;;;;;;;;;;;;;;;;;
Variation;;15%;14%;15%;14%;15%;14%;14%;0%;;;;;;;;;;;;;;;;;;;;
