;identity;nUser;timeslot;userLambda;nUser-timeslot;nUser-userLambda;timeslot-userLambda;nUser-timeslot-userLambda;userThroughputTotalStat;userThroughputTotalStat[0];userThroughputTotalStat[1];userThroughputTotalStatError[0];userThroughputTotalStatError[1]
0;1.0;-1.0;-1.0;-1.0;1.0;1.0;1.0;-1.0;;;;;
1;1.0;-1.0;-1.0;1.0;1.0;-1.0;-1.0;1.0;;;;;
2;1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;1.0;3815.5094736842148;3836.94;3794.0789473684295;21.4305263157853;-21.4305263157853
3;1.0;-1.0;1.0;1.0;-1.0;-1.0;1.0;-1.0;;;;;
4;1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;1.0;;;;;
5;1.0;1.0;-1.0;1.0;-1.0;1.0;-1.0;-1.0;;;;;
6;1.0;1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;;;;;
7;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;
Sum;3815.5094736842148;-3815.5094736842148;3815.5094736842148;-3815.5094736842148;-3815.5094736842148;3815.5094736842148;-3815.5094736842148;3815.5094736842148;;;;;
qi;476.93868421052684;-476.93868421052684;476.93868421052684;-476.93868421052684;-476.93868421052684;476.93868421052684;-476.93868421052684;476.93868421052684;;;;;
SSx;;3639528.1359434985;3639528.1359434985;3639528.1359434985;3639528.1359434985;3639528.1359434985;3639528.1359434985;3639528.1359434985;918.5349163431325;;;;
Variation;;0.14285199248214672;0.14285199248214672;0.14285199248214672;0.14285199248214672;0.14285199248214672;0.14285199248214672;0.14285199248214672;3.6052624973051026e-05;;;;
