;identity;nUser;timeslot;userLambda;nUser-timeslot;nUser-userLambda;timeslot-userLambda;nUser-timeslot-userLambda;userThroughputTotalStat;userThroughputTotalStat[0];userThroughputTotalStatError[0]
0;1.0;-1.0;-1.0;-1.0;1.0;1.0;1.0;-1.0;3794.18000000001;3794.18000000001;0.0
1;1.0;-1.0;-1.0;1.0;1.0;-1.0;-1.0;1.0;76041.5621052631;76041.5621052631;0.0
2;1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;1.0;3794.0789473684295;3794.0789473684295;0.0
3;1.0;-1.0;1.0;1.0;-1.0;-1.0;1.0;-1.0;76040.8557894737;76040.8557894737;0.0
4;1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;1.0;3797.5708947368425;3797.5708947368425;0.0
5;1.0;1.0;-1.0;1.0;-1.0;1.0;-1.0;-1.0;23004.02984210526;23004.02984210526;0.0
6;1.0;1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;3794.2194736842125;3794.2194736842125;0.0
7;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;7668.183999999996;7668.183999999996;0.0
Sum;197934.68105263155;-121406.67263157891;-15340.004631578877;167574.5824210526;-15338.389894736914;-121413.7354736842;-15333.099684210456;-15331.889157894815;;;
qi;24741.835131578944;-15175.834078947364;-1917.5005789473596;20946.822802631574;-1917.2987368421143;-15176.716934210524;-1916.637460526307;-1916.4861447368519;;;
SSx;;1842447519.9339216;29414467.762107674;3510155084.1987686;29408275.570370935;1842661895.20922;29387993.24074185;29383353.143746573;0.0;;
Variation;;0.251946280308291;0.00402229407336224;0.47999767005620514;0.004021447319434029;0.2519755951477191;0.004018673803526114;0.004018039291462361;0.0;;
